#Chinese	#English	#Sentences
七誡運動歌	Song of Encouragement
 	 	We plan to host a concert at Ta Tzu Children's Home to increase community awareness about the orphanage.
大洋洲聯誼委員會	Oceania Fellowship Committee
 	 	大洋洲聯誼委員會將於下個月舉辦年度會議，分享各國的實踐經驗。
 	 	The Oceania Fellowship Committee will host the annual meeting next month to share best practices from various countries.
 	 	她被任命為大洋洲聯誼委員會的主席，負責協調活動和增進成員間的相互理解。
 	 	She was appointed as the chairperson of the Oceania Fellowship Committee, responsible for coordinating events and fostering mutual understanding among members.
 	 	大洋洲聯誼委員會計劃組織國際佛光會青年成員之間的交流活動。
 	 	The Oceania Fellowship Committee plans to organize exchange events between young members of the BLIA.
 	 	在大洋洲聯誼委員會的支持下，當地分會得以順利推行許多社會服務計劃。
 	 	With the support of the Oceania Fellowship Committee, the local chapters were able to successfully implement several social service programs.
大洋洲聯誼會	BLIA Oceania Fellowship Meeting
 	 	今年的大洋洲聯誼會將在悉尼舉行，來自各地的會員將相聚一堂，分享修行經驗。
 	 	This year's BLIA Oceania Fellowship Meeting will be held in Sydney, where members from various regions will gather to share their cultivation experiences.
 	 	在大洋洲聯誼會上，會長強調了社區服務對於身心靈發展的重要性。
 	 	At the BLIA Oceania Fellowship Meeting, the president emphasized the importance of community service for personal and spiritual growth.
 	 	大洋洲聯誼會的主題是『和諧與共生』，以提升社會和諧為目標。
 	 	The theme of the BLIA Oceania Fellowship Meeting is 'Harmony and Coexistence', aimed at enhancing social harmony.
 	 	參加大洋洲聯誼會的同時，會員們也能體驗當地的文化活動，增進國際文化交流。
 	 	While attending the BLIA Oceania Fellowship Meeting, members also have the opportunity to experience local cultural activities, promoting international cultural exchange.
大眾傳播委員會	Media Committee
 	 	大眾傳播委員會負責規劃和執行所有國際佛光會媒體相關活動。
 	 	The Media Committee is responsible for planning and executing all media-related activities for the BLIA.
 	 	在國際佛光大會上，大眾傳播委員會展示了他們最新的多媒體宣傳影片。
 	 	At the International BLIA Conference, the Media Committee presented their latest multimedia promotional video.
 	 	大眾傳播委員會的成員都接受了專業訓練，以確保他們能夠高效地管理各類媒體資源。
 	 	Members of the Media Committee have received professional training to ensure they can effectively manage various media resources.
 	 	李先生被任命為大眾傳播委員會的主席，並負責統籌整個委員會的工作。
 	 	Mr. Lee was appointed as the Chairperson of the Media Committee, responsible for coordinating the entire committee's efforts.
天馬幹部	Pegasus Executive
 	 	作為天馬幹部，他在國際佛光會的戰略計劃中扮演著重要角色。
 	 	As a Pegasus Executive, he plays a vital role in the strategic planning of BLIA.
 	 	她被提升為天馬幹部，因為她的優秀領導才能和卓越的績效。
 	 	She was promoted to Pegasus Executive because of her excellent leadership skills and outstanding performance.
 	 	天馬幹部在國際會議上提出了一系列新的倡議，以促進全球的和諧與理解。
 	 	The Pegasus Executive proposed a series of new initiatives at the international conference to promote global harmony and understanding.
 	 	面對挑戰，天馬幹部總是能夠一心不二地找到解決方案。
 	 	Faced with challenges, the Pegasus Executive always manages to single-heartedly find solutions.
委任證書	Certificate of Appointment
 	 	他在國際佛光會的年度大會上獲得了委任證書，成為新的會長。
 	 	He received the Certificate of Appointment at the annual conference of the BLIA, becoming the new president.
 	 	委任證書由理事會正式簽發，以確認該會員的新職位。
 	 	The Certificate of Appointment was officially issued by the Council to confirm the member's new position.
 	 	她因在行政文書組中的傑出表現而獲頒委任證書。
 	 	She was awarded a Certificate of Appointment due to her outstanding performance in the Administrative Documentation Unit.
 	 	這份委任證書象徵著對他多年服務與貢獻的認可。
 	 	The Certificate of Appointment symbolizes recognition for his years of service and contributions.
委員	Committee Member
 	 	作為國際佛光會的委員，他積極參與所有會議，發表了許多建設性的意見。
 	 	As a committee member of the BLIA, he actively attended all meetings and offered many constructive suggestions.
 	 	她在國際佛光會的理事會中擔任委員，負責推動青年事務的發展。
 	 	She serves as a committee member in the BLIA board, responsible for promoting youth affairs development.
 	 	他是一位有經驗的委員，致力於在國際佛光會內推行文化交流的項目。
 	 	He is an experienced committee member, dedicated to implementing cultural exchange programs within the BLIA.
 	 	在加入國際佛光會之前，她曾是一個國際環保組織的委員，對可持續發展有深入的研究。
 	 	Before joining the BLIA, she was a committee member of an international environmental organization, conducting in-depth research on sustainable development.
宣誓典禮	Individual Member Oath Taking Ceremony
 	 	在國際佛光會的總部，李會長主持了一場莊嚴的宣誓典禮，新會員們皆表達了對於佛教精神的承諾。
 	 	At the headquarters of the BLIA, President Li presided over a solemn Individual Member Oath Taking Ceremony, where new members pledged their commitment to the Buddhist spirit.
 	 	每年的新會員宣誓典禮都是佛教徒的重要儀式，象徵著他們正式加入這個全球佛教社群。
 	 	The annual Individual Member Oath Taking Ceremony is a significant ritual for Buddhists, symbolizing their formal entry into the global Buddhist community.
 	 	宣誓典禮上，每位新入會者都在佛光的見證下，發誓遵循佛教教義並參與社會服務。
 	 	At the Individual Member Oath Taking Ceremony, each new inductee took an oath to follow Buddhist teachings and engage in community service, witnessed by the Buddha's light.
 	 	當年，在那場令人難忘的宣誓典禮後，我們大家都感受到了一種前所未有的責任感和使命感。
 	 	Following that memorable Individual Member Oath Taking Ceremony, we all felt an unprecedented sense of responsibility and mission.
尊重與包容	Respect and Tolerance
 	 	在國際佛光會理事會的會議中，成員們強調了尊重與包容的重要性，以促進和諧的合作關係。
 	 	During the BLIA council meeting, members emphasized the importance of respect and tolerance to foster harmonious collaboration.
 	 	學習尊重與包容不同文化背景的人，能夠使我們的世界更加和諧。
 	 	Learning to respect and tolerate people from different cultural backgrounds can make our world more harmonious.
 	 	國際佛光會會長呼籲成員們以尊重與包容的精神參與社區活動。
 	 	The president of BLIA urged members to participate in community events with a spirit of respect and tolerance.
 	 	老師教導學生們，尊重與包容是解決衝突的有效工具。
 	 	The teacher taught the students that respect and tolerance are effective tools for resolving conflicts.
常務理事	Executive Director
 	 	國際佛光會的常務理事在年度會議上分享了未來一年的計劃。
 	 	The Executive Director of the BLIA shared the plans for the upcoming year at the annual meeting.
 	 	作為常務理事，他負責監督所有主要的慈善活動和項目。
 	 	As the Executive Director, he is responsible for overseeing all major charitable activities and projects.
 	 	常務理事主持了這次國際佛教會議，並確保所有活動順利進行。
 	 	The Executive Director chaired the international Buddhist conference and ensured that all events proceeded smoothly.
 	 	他剛被任命為國際佛光會的常務理事，期待著能夠促進該組織的進一步發展。
 	 	He was recently appointed as the Executive Director of the BLIA and looks forward to fostering further development of the organization.
常設委員會	Working Committee
 	 	國際佛光會為了有效運作，在組織內設立了一個常設委員會。
 	 	The BLIA established a working committee within its organization for effective operations.
 	 	常設委員會負責定期檢討和更新國際佛光會的活動規劃。
 	 	The working committee is responsible for regularly reviewing and updating the activity plans of BLIA.
 	 	會長特別強調常設委員會在推動佛教事務中的關鍵角色。
 	 	The president particularly emphasized the pivotal role of the working committee in advancing Buddhist affairs.
 	 	她被任命為常設委員會的成員，負責協調國際活動。
 	 	She was appointed as a member of the working committee, tasked with coordinating international events.
平等與和平	Equality and Peace
 	 	在他的講話中，國際佛光會會長強調了平等與和平的重要性，呼籲全球合作。
 	 	In his speech, the president of BLIA emphasized the importance of equality and peace, calling for global cooperation.
 	 	國際佛光會的理事會致力於促進平等與和平，以建設一個更加包容的社會。
 	 	The BLIA board is dedicated to promoting equality and peace to build a more inclusive society.
 	 	他在和平會議上指出，宗教對話可以促進文化間的平等與和平。
 	 	He pointed out at the peace conference that interfaith dialogue can promote equality and peace between cultures.
 	 	我們的社區活動旨在加強對於平等與和平的承諾，並促進各種族間的和諧共處。
 	 	Our community activities aim to strengthen the commitment to equality and peace, promoting harmonious coexistence among different ethnicities.
幸福與安樂	Happiness and Peace
 	 	他覺得真正的幸福與安樂來自內心的平靜與對生活的滿足。
 	 	He believes that true happiness and peace come from inner calm and satisfaction with life.
 	 	佛教徒透過冥想與修行來追求幸福與安樂。
 	 	Buddhists seek happiness and peace through meditation and spiritual practice.
 	 	國際佛光會的宗旨之一是讓每一個成員在服務社會中找到幸福與安樂。
 	 	One of the goals of BLIA is to help each member find happiness and peace through serving society.
 	 	在動蕩的時代，人們更渴望找到心靈的幸福與安樂。
 	 	In turbulent times, people yearn more for finding happiness and peace of mind.
幹部講習會	Leadership Training Seminar
 	 	國際佛光會的年輕幹部積極參加幹部講習會，以提升領導能力和溝通技巧。
 	 	Young leaders of BLIA actively participated in the Leadership Training Seminar to enhance their leadership abilities and communication skills.
 	 	這次幹部講習會由佛光山高僧主持，內容涵蓋現代管理理論與佛教實用智慧。
 	 	The Leadership Training Seminar was led by a senior monk from Fo Guang Shan, covering modern management theories and practical Buddhist wisdom.
 	 	參加幹部講習會的成員表示，這次培訓增強了他們的團隊合作精神。
 	 	Participants of the Leadership Training Seminar stated that the training enhanced their team spirit.
 	 	在幹部講習會中分享經驗與心得是提升組織凝聚力的一種方式。
 	 	Sharing experiences and insights during the Leadership Training Seminar is a way to enhance organizational cohesion.
廣播電視組	Radio & TV Broadcasting Unit
 	 	廣播電視組正在籌備一場特別節目，旨在弘揚佛教文化。
 	 	The Radio & TV Broadcasting Unit is preparing a special program aimed at promoting Buddhist culture.
 	 	國際佛光會的廣播電視組提供了針對不同年齡層的佛教學習資源。
 	 	The BLIA's Radio & TV Broadcasting Unit provides Buddhist learning resources tailored for different age groups.
 	 	他在廣播電視組工作多年，熟悉各類型節目的製作流程。
 	 	He has worked in the Radio & TV Broadcasting Unit for many years and is familiar with the production processes of various types of programs.
 	 	廣播電視組的成員每月討論最新的技術趨勢，以改進節目的質量。
 	 	Members of the Radio & TV Broadcasting Unit meet monthly to discuss the latest technological trends to improve the quality of their programs.
廣電推展委員會	Radio and TV Broadcasting Promotion and Development Committee
 	 	廣電推展委員會今年將推出一系列的佛教紀錄片，以促進對佛教文化的認識和理解。
 	 	The Radio and TV Broadcasting Promotion and Development Committee will launch a series of Buddhist documentaries this year to enhance the understanding and awareness of Buddhist culture.
 	 	國際佛光會的廣電推展委員會希望透過多媒體宣傳計劃吸引年輕一代。
 	 	The BLIA's Radio and TV Broadcasting Promotion and Development Committee aims to attract the younger generation through its multimedia promotion strategy.
 	 	為了更好地執行任務，廣電推展委員會舉辦了多場培訓會議。
 	 	To better fulfill its mission, the Radio and TV Broadcasting Promotion and Development Committee has held numerous training seminars.
 	 	廣電推展委員會正在與其他國際組織合作，製作一份全球佛教的廣播節目。
 	 	The Radio and TV Broadcasting Promotion and Development Committee is collaborating with other international organizations to produce a global Buddhist radio program.
弘導師	Monastic Dharma Mentor
 	 	弘導師在週日的講座中分享了關於慈悲智慧的深刻見解。
 	 	The Monastic Dharma Mentor shared profound insights about compassion and wisdom during the Sunday lecture.
 	 	這位弘導師在國際佛光會的理事會中扮演著重要的指導角色。
 	 	The Monastic Dharma Mentor plays a vital guiding role on the board of directors of BLIA.
 	 	學生們非常感激這位弘導師的耐心教導和靈性引導。
 	 	The students are very grateful for the Monastic Dharma Mentor's patient teaching and spiritual guidance.
 	 	在寺院裡，弘導師負責每日經典研討會的主持工作。
 	 	In the monastery, the Monastic Dharma Mentor is responsible for leading the daily scripture study sessions.
弘教師	Monastic Dharma Teacher
 	 	國際佛光會邀請了一位資深弘教師來主持這次的佛學講座。
 	 	The BLIA invited a senior Monastic Dharma Teacher to host this Buddhist studies lecture.
 	 	這位弘教師以淺顯易懂的方式解說佛法，深受學員們的歡迎。
 	 	This Monastic Dharma Teacher explained the Dharma in an accessible way, earning the appreciation of the students.
 	 	弘教師肩負著傳遞佛法智慧的使命，無私奉獻於各大寺廟。
 	 	The Monastic Dharma Teacher bears the mission of imparting the wisdom of the Dharma, selflessly dedicating themselves at various temples.
 	 	在會長的支持下，這位弘教師策劃了年度禪修活動。
 	 	With the support of the president, the Monastic Dharma Teacher organized the annual meditation retreat.
弘講師	Monastic Dharma Lecturer
 	 	弘講師向聽眾們闡述了慈悲和智慧之間的緊密聯繫。
 	 	The Monastic Dharma Lecturer explained to the audience the close connection between compassion and wisdom.
 	 	作為弘講師，他走遍世界各地進行佛學演講，增進各國學者間的交流。
 	 	As a Monastic Dharma Lecturer, he traveled around the world giving lectures on Buddhism, enhancing exchanges among scholars from different countries.
 	 	國際佛光會每年舉辦多場由弘講師主持的專題研討會。
 	 	The BLIA organizes multiple thematic seminars each year hosted by Monastic Dharma Lecturers.
 	 	弘講師的職責包括為國際佛光會理事會提供教育與文化建議。
 	 	The responsibilities of a Monastic Dharma Lecturer include providing educational and cultural advice to the BLIA Council.
復蔬線上公益路跑	VEGRUN
 	 	今年的復蔬線上公益路跑吸引了來自世界各地的參加者，共同支持環保和健康的理念。
 	 	This year's VEGRUN attracted participants from around the world, united in their support for environmental and health initiatives.
 	 	小明正在準備參加他人生中的第一次復蔬線上公益路跑，期待以健康的生活方式來支持慈善事業。
 	 	Xiao Ming is preparing to participate in his first VEGRUN, eager to support charity through a healthy lifestyle.
 	 	國際佛光會鼓勵所有成員參加復蔬線上公益路跑，以提倡綠色生活和健康飲食。
 	 	The BLIA encourages all members to join the VEGRUN to promote green living and healthy eating.
 	 	參加復蔬線上公益路跑不僅能鍛煉身體，還能為慈善事業盡一份力。
 	 	Participating in the VEGRUN not only serves as a physical exercise but also contributes to charitable causes.
心定和尚	Elder Monk Hsin Ting
 	 	心定和尚以其智慧和慈悲聞名於世，許多信徒都慕名前來聆聽他的開示。
 	 	Elder Monk Hsin Ting is renowned for his wisdom and compassion, attracting followers from all over the world to hear his teachings.
 	 	心定和尚於國際佛光會擔任會長，致力於推動全球佛教的和平與合作。
 	 	Elder Monk Hsin Ting serves as the president of BLIA, dedicated to promoting peace and cooperation among the global Buddhist community.
 	 	在禪修課程中，心定和尚指導參加者如何透過禪定來安住身心。
 	 	During the meditation retreat, Elder Monk Hsin Ting guided participants on how to achieve tranquility of body and mind through meditation.
 	 	許多人感謝心定和尚的指引，並表示他的開示對他們的人生具有深遠的影響。
 	 	Many people express their gratitude for Elder Monk Hsin Ting's guidance, stating that his teachings have had a profound impact on their lives.
憲章	Bylaws
 	 	國際佛光會的憲章詳述了組織的目的和成員的責任。
 	 	The bylaws of the BLIA outline the purposes of the organization and the responsibilities of its members.
 	 	在成為正式成員之前，所有申請者必須閱讀並同意遵守組織的憲章。
 	 	All applicants must read and agree to abide by the organization's bylaws before becoming official members.
 	 	會長在理事會會議中提議修改憲章以適應新形勢的需要。
 	 	The president proposed amendments to the bylaws during the council meeting to adapt to the new circumstances.
 	 	行政文書組負責保管並更新最新版本的憲章。
 	 	The Administration Documentation Unit is responsible for keeping and updating the latest version of the bylaws.
成立證書	Inauguration Certificate
 	 	國際佛光會新成立的分會舉行了成立證書頒發儀式。
 	 	The new chapter of the BLIA held an inauguration certificate awarding ceremony.
 	 	會長親自簽署了這份成立證書，以示對新單位的支持與期望。
 	 	The president personally signed the inauguration certificate to show support and expectation for the new unit.
 	 	這張成立證書象徵著國際佛光會的新步伐。
 	 	This inauguration certificate symbolizes a new step for the BLIA.
 	 	行政文書組負責準備所有成立證書的文件和程序。
 	 	The Administrative Documents Team is responsible for preparing all the documents and procedures for the inauguration certificates.
成立辦法	Formation Procedure
 	 	國際佛光會的理事會最近修訂了新的成立辦法，以確保所有分會的成立程序標準化。
 	 	The BLIA Board recently revised the new formation procedure to standardize the establishment process for all branches.
 	 	根據新的成立辦法，會長需要親自審批每一個新申請的分會。
 	 	According to the new formation procedure, the president must personally approve each newly applying branch.
 	 	行政文書組負責確保各個分會了解並遵循最新的成立辦法。
 	 	The administrative documentation unit is responsible for ensuring that all branches understand and follow the latest formation procedure.
 	 	這些新的成立辦法已經發送給所有國際佛光會的成員，以便他們能夠熟悉所需的步驟。
 	 	The new formation procedures have been sent to all members of the BLIA so that they can familiarize themselves with the necessary steps.
手印	BLIA Mudra
 	 	在國際佛光會的開幕儀式上，會長展示了特別設計的手印，象徵和平與和諧。
 	 	During the inauguration ceremony of BLIA, the president showcased the specially designed BLIA Mudra, symbolizing peace and harmony.
 	 	這個手印在佛教活動中經常使用，以幫助修行者集中精神。
 	 	This BLIA Mudra is often used in Buddhist activities to aid practitioners in focusing their minds.
 	 	義工們學習如何正確地展示手印，以便在冥想時能夠更快進入狀態。
 	 	Volunteers learn how to display the BLIA Mudra correctly to enter a meditative state more easily.
 	 	在佛光青年團的聚會上，老師教導學生手印的歷史與象徵意義。
 	 	At the BLIA youth group's gathering, the teacher explains the history and symbolism of the BLIA Mudra to the students.
教師聯誼委員會	Teachers Fellowship Committee
 	 	國際佛光會的教師聯誼委員會每年都舉辦一次大型的教育研討會。
 	 	The Teachers Fellowship Committee of BLIA organizes a major educational seminar every year.
 	 	作為教師聯誼委員會的成員，他積極參與各項教育交流活動。
 	 	As a member of the Teachers Fellowship Committee, he actively participates in various educational exchange activities.
 	 	教師聯誼委員會安排了多場講座，以提升教師們的教學技能。
 	 	The Teachers Fellowship Committee arranged several lectures to enhance the teaching skills of the educators.
 	 	新的學年開始了，教師聯誼委員會也推出了新的專業發展計畫。
 	 	With the new academic year beginning, the Teachers Fellowship Committee has launched a new professional development program.
教育研習組	Educational Research Unit
 	 	國際佛光會的教育研習組負責開發新的學習課程，以弘揚佛教教育。
 	 	The Educational Research Unit of BLIA is responsible for developing new learning programs to promote Buddhist education.
 	 	教育研習組近日舉辦了一場研討會，吸引了來自全球的學者與會。
 	 	Recently, the Educational Research Unit organized a seminar that attracted scholars from around the world.
 	 	作為教育研習組的負責人，王教授強調了持續學習的重要性。
 	 	As the head of the Educational Research Unit, Professor Wang emphasized the importance of continuous learning.
 	 	教育研習組正在開發一個在線學習平台，以便於國際佛光會會員的學習。
 	 	The Educational Research Unit is developing an online learning platform to facilitate the learning of BLIA members.
文化活動組	Cultural Activities Unit
 	 	她被任命為國際佛光會文化活動組的組長，負責策劃年度文化節。
 	 	She was appointed as the head of the Cultural Activities Unit of BLIA, responsible for organizing the annual cultural festival.
 	 	文化活動組近日舉辦了一場大型禪修活動，吸引了眾多社區居民參加。
 	 	Recently, the Cultural Activities Unit organized a large-scale meditation event, attracting numerous community members.
 	 	作為文化活動組的一員，他主要協助策劃各類傳統藝術展覽。
 	 	As a member of the Cultural Activities Unit, he mainly assists in planning various traditional art exhibitions.
 	 	文化活動組長期致力於推動佛教文化的普及與宣傳，成效顯著。
 	 	The Cultural Activities Unit has long been dedicated to promoting and advocating Buddhist culture, with significant success.
文宣教材組	Educational Material Circulation Unit
 	 	文宣教材組負責編輯和分發所有佛教活動的教材資料。
 	 	The Educational Material Circulation Unit is responsible for editing and distributing educational resources for all Buddhist activities.
 	 	在國際佛光會的會議上，文宣教材組簡報了他們最新的出版物清單。
 	 	At the BLIA meeting, the Educational Material Circulation Unit presented a briefing of their latest publication list.
 	 	文宣教材組的成員們經常參加培訓，以提升他們的撰寫和編輯能力。
 	 	Members of the Educational Material Circulation Unit regularly participate in training to enhance their writing and editing skills.
 	 	文宣教材組正在翻譯佛教經典，使其能夠廣泛流通於更多文化背景的讀者。
 	 	The Educational Material Circulation Unit is translating Buddhist scriptures to make them accessible to readers from more diverse cultural backgrounds.
文教推廣組	Cultural & Educational Promotion Unit
 	 	文教推廣組負責規劃年度文化活動，以促進社區對佛教文化的認識。
 	 	The Cultural & Educational Promotion Unit is responsible for planning annual cultural activities to promote community awareness of Buddhist culture.
 	 	在上週的會議中，文教推廣組介紹了新的教育方案，旨在透過講座與工作坊提升學員的知識水平。
 	 	During last week’s meeting, the Cultural & Educational Promotion Unit introduced a new education program aimed at enhancing participants' knowledge through lectures and workshops.
 	 	文教推廣組的成員經常走訪不同的學校與社區，以宣揚教育的重要性和佛教的價值觀。
 	 	Members of the Cultural & Educational Promotion Unit frequently visit various schools and communities to advocate for the importance of education and the values of Buddhism.
 	 	國際佛光會主席讚揚了文教推廣組在推動文化進步與教育提升方面的傑出貢獻。
 	 	The BLIA president praised the Cultural & Educational Promotion Unit for its outstanding contributions to cultural advancement and educational enhancement.
文教資訊委員會	Cultural and Educational Information Committee
 	 	國際佛光會的文教資訊委員會正籌備一場大型的文化展覽，以促進佛教文化的交流。
 	 	The Cultural and Educational Information Committee of the BLIA is organizing a major cultural exhibition to promote the exchange of Buddhist culture.
 	 	文教資訊委員會於今早召開了一次會議，以討論新的教育項目計劃。
 	 	The Cultural and Educational Information Committee held a meeting this morning to discuss plans for new educational projects.
 	 	作為文教資訊委員會的成員，她負責策劃和推動佛光山的文化活動。
 	 	As a member of the Cultural and Educational Information Committee, she is responsible for planning and promoting cultural activities at Foguangshan.
 	 	文教資訊委員會致力於提供有關佛教文化的多種資訊和資源，促進學術研究。
 	 	The Cultural and Educational Information Committee is dedicated to providing diverse information and resources about Buddhist culture to promote academic research.
星雲大師	Ven. Master Hsing Yun
 	 	星雲大師是一位著名的佛教領袖，他創立了國際佛光會，致力於弘揚人間佛教。
 	 	Ven. Master Hsing Yun is a renowned Buddhist leader who founded the Buddha's Light International Association, dedicated to promoting Humanistic Buddhism.
 	 	在星雲大師的指導下，許多佛教徒學會了如何在日常生活中實踐佛法。
 	 	Under the guidance of Ven. Master Hsing Yun, many Buddhists have learned how to practice Dharma in their daily lives.
 	 	星雲大師的著作涵蓋了廣泛的主題，從禪修到生活哲學，廣受讀者歡迎。
 	 	Ven. Master Hsing Yun's writings cover a wide range of topics, from meditation to life philosophy, and are popular among readers.
 	 	每年，成千上萬的人參加星雲大師主持的法會，從中獲得啟發和指引。
 	 	Each year, thousands of people attend the Dharma assemblies conducted by Ven. Master Hsing Yun, gaining inspiration and guidance.
普門雜誌	Universal Gate Magazine
 	 	普門雜誌每月出版一次，旨在推廣佛法及弘揚佛教文化。
 	 	Universal Gate Magazine is published monthly with the aim of promoting Dharma and spreading Buddhist culture.
 	 	他在普門雜誌上發表了一篇關於禪修的文章，引起了廣泛的關注。
 	 	He published an article on meditation in the Universal Gate Magazine, which garnered widespread attention.
 	 	普門雜誌的編輯團隊由國際佛光會的會員組成，致力於維持內容的高品質。
 	 	The editorial team of Universal Gate Magazine is composed of members from the BLIA, dedicated to maintaining high-quality content.
 	 	多位信眾表示，透過閱讀普門雜誌，他們對佛教的了解更加深入。
 	 	Many devotees expressed that through reading the Universal Gate Magazine, their understanding of Buddhism deepened.
智慧與創新	Wisdom and Innovation
 	 	綜合智慧與創新的理念，這家公司快速推動科技的進步。
 	 	By integrating the concepts of wisdom and innovation, the company rapidly advances in technological progress.
 	 	佛光山的會長經常強調精神生活需要智慧與創新的平衡。
 	 	The president of BLIA at Fo Guang Shan often emphasizes the balance between wisdom and innovation in spiritual life.
 	 	理事會討論了如何在教育計劃中結合智慧與創新。
 	 	The BLIA council discussed how to incorporate wisdom and innovation within the education programs.
 	 	她在國際佛光會的行政文書組工作，致力於將智慧與創新融入日常運作中。
 	 	She works in the administrative documentation section of BLIA, dedicating herself to integrating wisdom and innovation into daily operations.
會務發展委員會	BLIA Affairs Development Committee
 	 	國際佛光會的會務發展委員會致力於推動組織的長期成長和拓展。
 	 	The BLIA Affairs Development Committee is dedicated to promoting the organization's long-term growth and expansion.
 	 	在年度會議中，會務發展委員會提出了未來五年的策略計畫。
 	 	During the annual conference, the BLIA Affairs Development Committee presented the strategic plan for the next five years.
 	 	他被任命為會務發展委員會的成員，以協助制定新的政策。
 	 	He was appointed as a member of the BLIA Affairs Development Committee to help formulate new policies.
 	 	會務發展委員會每季度召開會議，討論如何提高會務的效率和效果。
 	 	The BLIA Affairs Development Committee meets quarterly to discuss how to enhance the efficiency and effectiveness of its affairs.
會務議會	General Meeting
 	 	國際佛光會的會務議會將在下週五舉行，討論年度活動計劃。
 	 	The General Meeting of BLIA will be held next Friday to discuss the annual activity plan.
 	 	參加會務議會的成員需要提前提交報告，以便於議會討論。
 	 	Members attending the General Meeting need to submit their reports in advance for the meeting's discussion.
 	 	會務議會上，會長發表了對未來一年的願景和計劃。
 	 	At the General Meeting, the president delivered a speech outlining the vision and plans for the coming year.
 	 	此次會務議會的重點是如何增強會員與國際佛光會的聯繫與合作。
 	 	The focus of this General Meeting is how to enhance member engagement and collaboration with BLIA.
會員代表	Member Delegate
 	 	在國際佛光會的年會中，會員代表對於重要決策擁有投票權。
 	 	At the BLIA annual meeting, the member delegate has voting rights on important decisions.
 	 	作為會員代表，她負責將社區的意見帶到理事會進行討論。
 	 	As a member delegate, she is responsible for bringing the community's opinions to the council for discussion.
 	 	這位會員代表和其他志願者一起組織了一系列慈善活動。
 	 	The member delegate, along with other volunteers, organized a series of charity events.
 	 	新當選的會員代表將參與管理未來三年的專案。
 	 	The newly elected member delegate will be involved in managing projects for the next three years.
會員手冊	Member Handbook
 	 	每位新加入的會員都會收到一本詳盡的會員手冊，以了解國際佛光會的宗旨和活動。
 	 	Every new member receives a comprehensive Member Handbook to understand the aims and activities of the BLIA.
 	 	會員手冊中包含了有關如何參加志願服務活動的詳細信息。
 	 	The Member Handbook contains detailed information on how to participate in volunteer activities.
 	 	他在閱讀會員手冊後，對國際佛光會的運作有了更深入的了解。
 	 	After reading the Member Handbook, he gained a deeper understanding of the workings of the BLIA.
 	 	國際佛光會會長在會員手冊的序言中強調了團結和慈悲的重要性。
 	 	In the foreword of the Member Handbook, the President of BLIA emphasized the importance of unity and compassion.
會員拓習組	Member Recruitment Unit
 	 	會員拓習組致力於擴展國際佛光會的成員基礎，並確保每位新成員獲得必要的資源和支持。
 	 	The Member Recruitment Unit is dedicated to expanding the membership base of BLIA and ensuring every new member receives the necessary resources and support.
 	 	今年，會員拓習組成功舉辦了多場活動，吸引了大量對於佛學有興趣的新人加入。
 	 	This year, the Member Recruitment Unit successfully organized several events, attracting numerous newcomers interested in Buddhist studies.
 	 	為了促進組織的發展，會員拓習組不斷尋找創新的方式來連結潛在的成員。
 	 	To promote the growth of the organization, the Member Recruitment Unit continuously seeks innovative ways to connect with potential members.
 	 	會員拓習組的目標是在未來一年內將國際佛光會的會員人數增加到新的高度。
 	 	The goal of the Member Recruitment Unit is to increase the membership of BLIA to new heights in the coming year.
會員服務委員會	Member Services Committee
 	 	國際佛光會的會員服務委員會致力於提升會員的體驗和福祉。
 	 	The Member Services Committee of BLIA is dedicated to enhancing the experience and well-being of its members.
 	 	會員服務委員會為新進會員提供專門的迎新活動以促進融入。
 	 	The Member Services Committee organizes special orientation activities for new members to facilitate integration.
 	 	她在會員服務委員會中扮演著重要的角色，負責制定改善會員福利的政策。
 	 	She plays a crucial role in the Member Services Committee, responsible for formulating policies to improve member welfare.
 	 	今年，會員服務委員會計劃推出新的會員福利計劃。
 	 	This year, the Member Services Committee plans to launch a new membership benefits program.
會員福利組	Member Support Unit
 	 	會員福利組為國際佛光會的成員提供多樣化的支持活動和資源。
 	 	The Member Support Unit provides a variety of support activities and resources for the members of the Buddha's Light International Association (BLIA).
 	 	作為會員福利組的負責人，她定期組織活動來促進會員之間的交流與合作。
 	 	As the head of the Member Support Unit, she regularly organizes activities to promote interaction and cooperation among members.
 	 	會員福利組每月召開會議以確保所有成員的需求得到滿足。
 	 	The Member Support Unit holds monthly meetings to ensure that the needs of all members are met.
 	 	如果您對會員福利組的服務有任何疑問，請隨時聯繫我們的團隊。
 	 	If you have any questions about the services provided by the Member Support Unit, please feel free to contact our team.
會址籌建委員會	Site Planning Committee
 	 	國際佛光會的會址籌建委員會正在制定新辦公樓的藍圖。
 	 	The Site Planning Committee of the BLIA is drafting the blueprint for the new office building.
 	 	會址籌建委員會召開了會議，討論資金籌措的各種策略。
 	 	The Site Planning Committee held a meeting to discuss various strategies for fundraising.
 	 	這次會議上，會址籌建委員會的成員分享了最新的進度報告。
 	 	During the meeting, members of the Site Planning Committee shared the latest progress reports.
 	 	他被任命為國際佛光會會址籌建委員會的新主席。
 	 	He was appointed as the new chairperson of the Site Planning Committee of the BLIA.
會徽	BLIA Emblem
 	 	國際佛光會的會徽象徵著光明與希望，遍照十方。
 	 	The BLIA Emblem symbolizes light and hope, spreading across all directions.
